articleCode;name;barcode
Магазин;Зона;Ячейки хранения
S187;Основной склад;Г-П01
S187;Основной склад;А-П05
S187;Основной склад;Г-П01
S187;Основной склад;А-П05
S187;Торговый зал;ТОРГОВЫЙ ЗАЛ
S187;Торговый зал;ТОРГОВЫЙ ЗАЛ
S187;Основной склад;З-С02-1
S187;Торговый зал;ТОРГОВЫЙ ЗАЛ
S187;Торговый зал;ТОРГОВЫЙ ЗАЛ
S187;Торговый зал;ТОРГОВЫЙ ЗАЛ
S187;Основной склад;Г-П01
S187;Основной склад;Г-П01
S187;Основной склад;Г-П01
S187;Основной склад;Г-П01
S187;Основной склад;Е-П01
S187;Основной склад;З-С02-1
S187;Торговый зал;ТОРГОВЫЙ ЗАЛ
S187;Торговый зал;ТОРГОВЫЙ ЗАЛ
S187;Торговый зал;ТОРГОВЫЙ ЗАЛ
S187;Основной склад;З-С04-1
S187;Торговый зал;ТОРГОВЫЙ ЗАЛ
S187;Торговый зал;ТОРГОВЫЙ ЗАЛ
S187;Торговый зал;ТОРГОВЫЙ ЗАЛ
S187;Торговый зал;ТОРГОВЫЙ ЗАЛ
S187;Торговый зал;ТОРГОВЫЙ ЗАЛ
S187;Торговый зал;ТОРГОВЫЙ ЗАЛ
S187;Торговый зал;ТОРГОВЫЙ ЗАЛ
S187;Торговый зал;ТОРГОВЫЙ ЗАЛ
S187;Торговый зал;ТОРГОВЫЙ ЗАЛ
S187;Торговый зал;ТОРГОВЫЙ ЗАЛ
S187;Торговый зал;ТОРГОВЫЙ ЗАЛ
S187;Торговый зал;ТОРГОВЫЙ ЗАЛ
S187;Торговый зал;ТОРГОВЫЙ ЗАЛ
S187;Торговый зал;ТОРГОВЫЙ ЗАЛ
S187;Торговый зал;ТОРГОВЫЙ ЗАЛ
S187;Торговый зал;ТОРГОВЫЙ ЗАЛ
S187;Торговый зал;ТОРГОВЫЙ ЗАЛ
S187;Торговый зал;ТОРГОВЫЙ ЗАЛ
S187;Торговый зал;ТОРГОВЫЙ ЗАЛ
S187;Торговый зал;ТОРГОВЫЙ ЗАЛ
S187;Основной склад;Д-П01
S187;Торговый зал;ТОРГОВЫЙ ЗАЛ
S187;Торговый зал;ТОРГОВЫЙ ЗАЛ
S187;Основной склад;В-П01
S187;Торговый зал;ТОРГОВЫЙ ЗАЛ
S187;Торговый зал;ТОРГОВЫЙ ЗАЛ
S187;Торговый зал;ТОРГОВЫЙ ЗАЛ
S187;Основной склад;З-С03-3
S187;Торговый зал;ТОРГОВЫЙ ЗАЛ
